nome,percentual_conclusao,data_criacao,checklist_descricao,checklist_is_checked
funcionaporfavor,100.0,2025-02-22 17:29:00,Format-Salutation,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-Salutation,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-Punctuation,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-Attachments,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-Format of Reply,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-Spacing,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-N/A,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-N/A,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-N/A,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Format-N/A,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Complete Checks / Replies,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Follow-up / Documentation,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,N / A,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,N / A,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_Resolution code,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_Resolution field,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_Main Category,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_Template Used,False
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_N/A,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_N/A,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_SubCategory,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_N/A,True
FUNCIONOUVEIIII,27.27272727272727,2025-02-22 17:29:00,Taxonomy_Additionas (Agents),False
